id,className,classId,dimData
1,1,0,"0.029014,0.39193,0.34173,0.6084,0.53278"
2,2,0,"0.10668,0.79124,0.33947,0.59037,0.43472"
3,3,0,"0.1006,0.88651,0.66845,0.70116,0.59202"
4,4,0,"0.063682,0.74876,0.2029,0.72672,0.5186"
5,5,0,"0.61043,0.3967,0.23051,0.5733,0.66225"
6,6,0,"0.074578,0.73459,0.2505,0.68187,0.51875"
7,7,0,"0.11328,0.31272,0.65769,0.62721,0.77221"
8,8,0,"0.24135,0.72267,0.33884,0.72194,0.48161"
9,9,0,"0.099299,0.91212,0.52235,0.67503,0.5716"
10,10,0,"0.078917,0.80488,0.32781,0.64884,0.85397"
11,11,0,"0.079202,0.72651,0.17795,0.72815,0.61538"
12,12,0,"0.015051,0.80799,0.32221,0.72271,0.51552"
13,13,0,"0.093337,0.68637,0.30136,0.58735,0.75259"
14,14,0,"0.28145,0.62544,0.27264,0.78142,0.1528"
15,15,0,"0.065637,0.8758,0.48215,0.64531,0.59695"
16,16,0,"0.11853,0.83675,0.40096,0.68953,0.62105"
17,17,0,"0.076311,0.81042,0.30904,0.67348,0.59301"
18,18,0,"0.25606,0.7036,0.21135,0.50764,0.42642"
19,19,0,"0.067339,0.72878,0.22994,0.74877,0.71123"
20,20,0,"0.18547,0.76307,0.35993,0.53732,0.67711"
21,21,0,"0.43995,0.79848,0.2919,0.67379,0.36713"
22,22,0,"0.36156,0.91585,0.67129,0.55721,0.38622"
23,23,0,"0.10565,0.87503,0.51493,0.62443,0.26514"
24,24,0,"0.17368,0.77526,0.34601,0.5629,0.64656"
25,25,0,"0.035319,0.87968,0.43154,0.68073,0.51675"
26,26,0,"0.22111,0.8027,0.26033,0.65559,0.53344"
27,27,0,"0.028549,0.81737,0.33191,0.63522,0.22015"
28,28,0,"0.18159,0.82344,0.30911,0.70986,0.72978"
29,29,0,"0.12767,0.88194,0.49226,0.64543,0.50368"
30,30,0,"0.18565,0.77685,0.20802,0.72992,0.83612"
31,31,0,"0.04422,0.74814,0.28034,0.66472,0.16782"
32,32,0,"0.03798,0.43417,0.30844,0.91755,0.66216"
33,33,0,"0.11067,0.76093,0.32658,0.69869,0.57937"
34,34,0,"0.29857,0.66336,0.33922,0.70903,0.7591"
35,35,0,"0.075628,0.78118,0.41414,0.70638,0.24998"
36,36,0,"0.19561,0.79423,0.43665,0.75629,0.67526"
37,37,1,"0.10605,0.79863,0.22179,0.67821,0.20936"
38,38,0,"0.072362,0.75748,0.39533,0.52095,0.41679"
39,39,0,"0.031877,0.78739,0.25989,0.63746,0.55826"
40,40,0,"0.075777,0.78251,0.25387,0.7261,0.89475"
41,41,0,"0.085156,0.8658,0.56534,0.63585,0.31145"
42,42,0,"0.046417,0.79791,0.22676,0.70524,0.66075"
