id,className,classId,dimData
1,1,0,"0.97099,0.39193,0.65827,0.3916,0.46722"
1,1,0,"0.89332,0.79124,0.66053,0.40963,0.56528"
1,1,0,"0.8994,0.88651,0.33155,0.29884,0.40798"
1,1,0,"0.93632,0.74876,0.7971,0.27328,0.4814"
1,1,0,"0.38957,0.3967,0.76949,0.4267,0.33775"
1,1,0,"0.92542,0.73459,0.7495,0.31813,0.48125"
1,1,0,"0.88672,0.31272,0.34231,0.37279,0.22779"
1,1,0,"0.75865,0.72267,0.66116,0.27806,0.51839"
1,1,0,"0.9007,0.91212,0.47765,0.32497,0.4284"
1,1,0,"0.92108,0.80488,0.67219,0.35116,0.14603"
1,1,0,"0.9208,0.72651,0.82205,0.27185,0.38462"
1,1,0,"0.98495,0.80799,0.67779,0.27729,0.48448"
1,1,0,"0.90666,0.68637,0.69864,0.41265,0.24741"
1,1,0,"0.71855,0.62544,0.72736,0.21858,0.8472"
1,1,0,"0.93436,0.8758,0.51785,0.35469,0.40305"
1,1,0,"0.88147,0.83675,0.59904,0.31047,0.37895"
1,1,0,"0.92369,0.81042,0.69096,0.32652,0.40699"
1,1,0,"0.74394,0.7036,0.78865,0.49236,0.57358"
1,1,0,"0.93266,0.72878,0.77006,0.25123,0.28877"
1,1,0,"0.81453,0.76307,0.64007,0.46268,0.32289"
1,1,0,"0.56005,0.79848,0.7081,0.32621,0.63287"
1,1,0,"0.63844,0.91585,0.32871,0.44279,0.61378"
1,1,0,"0.89435,0.87503,0.48507,0.37557,0.73486"
1,1,0,"0.82632,0.77526,0.65399,0.4371,0.35344"
1,1,0,"0.96468,0.87968,0.56846,0.31927,0.48325"
1,1,0,"0.77889,0.8027,0.73967,0.34441,0.46656"
1,1,0,"0.97145,0.81737,0.66809,0.36478,0.77985"
1,1,0,"0.81841,0.82344,0.69089,0.29014,0.27022"
1,1,0,"0.87233,0.88194,0.50774,0.35457,0.49632"
1,1,0,"0.81435,0.77685,0.79198,0.27008,0.16388"
