id,className,classId,dimData
1,iris,1,"0.723664,0.534436,0.615156,0.893726"
1,iris,1,"0.504408,0.491232,0.137583,0.00494594"
1,iris,1,"0.286054,0.483044,0.540784,0.92011"
1,iris,1,"0.532539,0.448734,0.883445,0.266065"
1,iris,1,"0.398628,0.0272746,0.686981,0.137129"
1,iris,1,"0.355026,0.550602,0.875135,0.741595"
1,iris,1,"0.555364,0.630016,0.240238,0.0149433"
1,iris,1,"0.402271,0.0275841,0.69095,0.139015"
1,iris,1,"0.0160523,0.584787,0.600257,0.899426"
1,iris,1,"0.48875,0.499636,0.942815,0.66643"
1,iris,1,"0.922167,0.34628,0.763572,0.822423"
1,iris,1,"0.359139,0.550176,0.875135,0.741595"
1,iris,1,"0.435816,0.415002,0.00629113,0.99998"
1,iris,1,"0.541722,0.445805,0.89977,0.282127"
1,iris,1,"0.887316,0.320368,0.794528,0.803194"
1,iris,1,"0.561462,0.439143,0.945542,0.33747"
1,iris,1,"0.444181,0.455745,0.179372,0.991651"
1,iris,1,"0.522489,0.45756,0.928749,0.314904"
1,iris,1,"0.290993,0.491719,0.65512,0.877288"
1,iris,1,"0.512339,0.690836,0.744808,0.166808"
1,iris,1,"0.311944,0.126209,0.546803,0.0818397"
1,iris,1,"0.39716,0.0287477,0.686981,0.137129"
1,iris,1,"0.482152,0.714855,0.827255,0.21948"
1,iris,1,"0.331753,0.0940272,0.598737,0.100003"
1,iris,1,"0.74587,0.751888,0.210051,0.0114258"
1,iris,1,"0.45268,0.472783,0.609376,0.895963"
1,iris,1,"0.895864,0.323944,0.794528,0.803194"
1,iris,1,"0.301724,0.755433,0.971796,0.617773"
1,iris,1,"0.618766,0.44451,0.959549,0.640589"
1,iris,1,"0.663185,0.916154,0.656393,0.123263"
1,iris,1,"0.673138,0.903395,0.63334,0.113539"
1,iris,1,"0.290656,0.159632,0.463823,0.0574834"
1,iris,1,"0.656726,0.458534,0.625224,0.889746"
1,iris,1,"0.487561,0.498882,0.978384,0.603289"
1,iris,1,"0.753596,0.712063,0.024832,0.000191855"
1,iris,1,"0.49219,0.308642,0.768406,0.180453"
1,iris,1,"0.643912,0.455423,0.934744,0.677414"
1,iris,1,"0.383267,0.56125,0.915878,0.700444"
1,iris,1,"0.509219,0.499345,0.110835,0.00323857"
1,iris,1,"0.521976,0.507421,0.988225,0.576459"
1,iris,1,"0.306221,0.132209,0.540656,0.0798474"
1,iris,1,"0.251274,0.261599,0.22155,0.012708"
1,iris,1,"0.49844,0.51363,0.264099,0.018074"
1,iris,1,"0.529988,0.452968,0.750334,0.169915"
1,iris,1,"0.677192,0.245246,0.999267,0.519417"
1,iris,1,"0.746174,0.586284,0.212747,0.988279"
1,iris,1,"0.440735,0.445879,0.390221,0.959947"
1,iris,1,"0.442952,0.387694,0.288108,0.0215431"
1,iris,1,"0.746394,0.585436,0.212747,0.988279"
1,iris,1,"0.641203,0.940159,0.677071,0.13251"
1,iris,1,"0.568258,0.572848,0.0893651,0.997868"
1,iris,1,"0.554825,0.536278,0.288299,0.978427"
1,iris,1,"0.321984,0.52989,0.706746,0.853271"
1,iris,1,"0.532191,0.669425,0.573572,0.0908965"
1,iris,1,"0.564722,0.564806,0.0322429,0.99969"
1,iris,1,"0.343161,0.0801227,0.64609,0.118843"
1,iris,1,"0.413925,0.566181,0.99459,0.448026"
1,iris,1,"0.616396,0.24854,0.984077,0.411203"
1,iris,1,"0.55255,0.54612,0.382622,0.961543"
1,iris,1,"0.446349,0.375967,0.210761,0.0115029"
1,iris,1,"0.551498,0.44023,0.822341,0.2159"
1,iris,1,"0.90067,0.325476,0.794528,0.803194"
1,iris,1,"0.306504,0.509672,0.647086,0.880733"
1,iris,1,"0.535347,0.446868,0.954221,0.350646"
1,iris,1,"0.515788,0.500937,0.9688,0.623771"
1,iris,1,"0.445027,0.375828,0.210761,0.0115029"
1,iris,1,"0.343672,0.539324,0.957677,0.643734"
1,iris,1,"0.286827,0.16602,0.444411,0.0525279"
1,iris,1,"0.446857,0.465481,0.474585,0.939652"
1,iris,1,"0.24793,0.348776,0.0479933,0.000648413"
1,iris,1,"0.560067,0.565162,0.000701686,0"
1,iris,1,"0.231324,0.453438,0.668241,0.128499"
1,iris,1,"0.528104,0.454485,0.698472,0.142645"
1,iris,1,"0.243757,0.309373,0.00420625,0.999989"
1,iris,1,"0.0816714,0.657162,0.750934,0.829743"
1,iris,1,"0.542661,0.515688,0.594183,0.901688"
1,iris,1,"0.729123,0.808723,0.403672,0.0429679"
1,iris,1,"0.138675,0.697912,0.835278,0.774527"
1,iris,1,"0.497129,0.520232,0.299394,0.0232863"
1,iris,1,"0.580383,0.993194,0.769277,0.180977"
1,iris,1,"0.534528,0.666392,0.501967,0.0680168"
1,iris,1,"0.444981,0.456334,0.179372,0.991651"
1,iris,1,"0.64385,0.452306,0.934744,0.677414"
1,iris,1,"0.498238,0.515841,0.212622,0.0117063"
1,iris,1,"0.726454,0.811798,0.403672,0.0429679"
1,iris,1,"0.393904,0.564973,0.959852,0.640071"
1,iris,1,"0.51687,0.458294,0.79348,0.196121"
1,iris,1,"0.565655,0.573527,0.0893651,0.997868"
1,iris,1,"0.247589,0.297372,0.154979,0.00625266"
1,iris,1,"0.614516,0.961661,0.706865,0.146787"
1,iris,1,"0.559404,0.545765,0.467342,0.941588"
1,iris,1,"0.547342,0.649096,0.515212,0.0719322"
1,iris,1,"0.362663,0.758413,0.999823,0.489974"
1,iris,1,"0.687983,0.482405,0.768432,0.81953"
1,iris,1,"0.346953,0.0759911,0.680886,0.134274"
1,iris,1,"0.750475,0.603305,0.13693,0.995099"
1,iris,1,"0.413347,0.745955,0.950459,0.344783"
1,iris,1,"0.461081,0.485359,0.725952,0.843416"
1,iris,1,"0.274568,0.456195,0.425024,0.952159"
1,iris,1,"0.458234,0.479174,0.703757,0.854757"
1,iris,1,"0.280913,0.755466,0.987451,0.578912"
1,iris,1,"0.435094,0.5638,0.998181,0.530297"
1,iris,1,"0.442912,0.390487,0.288108,0.0215431"
1,iris,1,"0.469174,0.486224,0.67793,0.867093"
1,iris,1,"0.244587,0.355363,0.141795,0.994751"
1,iris,1,"0.655949,0.4613,0.625224,0.889746"
1,iris,1,"0.429357,0.742388,0.939621,0.329126"
1,iris,1,"0.601841,0.441425,0.980788,0.597442"
1,iris,1,"0.688653,0.488322,0.749867,0.830348"
1,iris,1,"0.475378,0.54857,0.864103,0.248699"
1,iris,1,"0.37194,0.558464,0.94721,0.66009"
1,iris,1,"0.625459,0.445557,0.954872,0.648312"
1,iris,1,"0.719927,0.833193,0.425786,0.0480189"
1,iris,1,"0.569773,0.436731,0.970608,0.620189"
1,iris,1,"0.456312,0.478023,0.501282,0.932181"
1,iris,1,"0.245602,0.289334,0.159357,0.00660608"
1,iris,1,"0.55525,0.63002,0.240238,0.0149433"
1,iris,1,"0.257304,0.421733,0.687139,0.862795"
1,iris,1,"0.503637,0.50669,0.526113,0.0752589"
1,iris,1,"0.49218,0.53036,0.472706,0.0598404"
1,iris,1,"0.306036,0.504933,0.653234,0.878104"
1,iris,1,"0.474248,0.547929,0.841089,0.229932"
1,iris,1,"0.514621,0.690965,0.744808,0.166808"
1,iris,1,"0.54028,0.51562,0.753783,0.828118"
1,iris,1,"0.510073,0.473612,0.48938,0.0644208"
1,iris,1,"0.24186,0.742407,0.959543,0.640599"
1,iris,1,"0.261147,0.423387,0.272644,0.980727"
1,iris,1,"0.554069,0.635193,0.411207,0.0446525"
1,iris,1,"0.517206,0.285877,0.918132,0.302141"
1,iris,1,"0.398761,0.752842,0.979147,0.398527"
1,iris,1,"0.470117,0.329055,0.543889,0.0808914"
1,iris,1,"0.477882,0.500162,0.966066,0.628987"
1,iris,1,"0.471171,0.546019,0.933204,0.320576"
1,iris,1,"0.10632,0.676923,0.810955,0.792146"
1,iris,1,"0.433037,0.556751,0.999445,0.483009"
1,iris,1,"0.43629,0.4091,0.0800561,0.00172225"
1,iris,1,"0.553572,0.644994,0.480825,0.0620452"
1,iris,1,"0.490587,0.305391,0.736457,0.162208"
1,iris,1,"0.32788,0.755993,0.999425,0.482724"
1,iris,1,"0.162835,0.715313,0.899011,0.718651"
1,iris,1,"0.737277,0.556445,0.439672,0.948641"
1,iris,1,"0.907579,0.335086,0.752978,0.828579"
1,iris,1,"0.473873,0.72233,0.89181,0.274115"
1,iris,1,"0.563708,0.572407,0.551295,0.916683"
1,iris,1,"0.477088,0.494008,0.940405,0.669794"
1,iris,1,"0.502827,0.508819,0.168997,0.00741918"
1,iris,1,"0.562469,0.608794,0.168458,0.00737242"
1,iris,1,"0.358303,0.549567,0.875135,0.741595"
1,iris,1,"0.559567,0.551067,0.327232,0.972099"
1,iris,1,"0.287573,0.481329,0.540784,0.92011"
1,iris,1,"0.313102,0.516641,0.656053,0.876884"
1,iris,1,"0,0.638171,0.0837525,0.99812"
1,iris,1,"0.494431,0.500523,0.907235,0.710014"
1,iris,1,"0.349177,0.544126,0.861814,0.753252"
1,iris,1,"0.465853,0.488749,0.749528,0.830541"
1,iris,1,"0.482082,0.538959,0.873955,0.257341"
1,iris,1,"0.523321,0.456783,0.765954,0.178988"
1,iris,1,"0.332145,0.532462,0.892212,0.725487"
